category,index
ashtray,0,
cash machine,1,
popper,2,
compass,3,
rubber band,4,
spring,5,
refrigerator magnet,6,
concrete mixer,7,
crane,8,
generator,9,
spray paint,10,
pumpjack,11,
aquarium,12,
fishbowl,13,
pillar box,14,
nano aquarium,15,
spoon lure,16,
penfold post box,17,
bung,18,
cork,19,
power plugs and sockets,20,
socket,21,
wall socket,22,
electronic component,23,
battery,24,
capacitor,25,
coil,26,
resistor,27,
solar cell,28,
parachute,29,
umbrella,30,
cocktail umbrella,31,
Aluminum alloy ladder,32,
Wooden ladder,33,
Bamboo ladder,34,
Parachute Umbrella,35,
Paper Oil Umbrella,36,
Transparent Umbrella,37,
birdcage,38,
birdhouse,39,
cage,40,
chicken coop,41,
rabbit hutch,42,
bird's nest,43,
nest,44,
wasp's nest,45,
whistle,46,
gold,47,
money,48,
cash,49,
paper money,50,
coinage,51,
bill,52,
magnifying glass,53,
lens,54,
microscope,55,
telescope,56,
telescopic sight,57,
rifle scopes,58,
LED Lens,59,
Triangular Prism,60,
Eyeglass Lens,61,
Cylindrical Lens,62,
bicycle wheel rim,63,
bobbin,64,
ferris wheel,65,
gear,66,
inner tube,67,
pulley,68,
tire,69,
waterwheel,70,
wheel,71,
fishing reel,72,
skateboard wheel,73,
brazier,74,
gearshift,75,
handwheel,76,
hearth,77,
hot-water bottle,78,
radiator,79,
roaster,80,
solar heater,81,
steering wheel,82,
tandoor,83,
direct vent fireplace,84,
masonry oven,85,
stop sign,86,
crosswalk sign,87,
billboard,88,
crosswalk,89,
speed bump,90,
yard marker,91,
signpost,92,
fingerpost,93,
signage,94,
speed sign,95,
bell,96,
electric bell,97,
timer,98,
weathervane,99,
fire alarm,100,
bell buoy,101,
windbell,102,
bicycle bell,103,
Electronic Clock,104,
Timer,105,
checker,106,
chessman,107,
chess set,108,
Chinese Chess,109,
Go,110,
International Draughts or Checkers,111,
Chinese Checkers,112,
Aeroplane Chess,113,
Shogi,114,
Land Wargame,115,
International Draughts,116,
Reversi,117,
Nine Men's Morris,118,
Tic-Tac-Toe,119,
Makruk,120,
Sittuyin,121,
baby bed,122,
bed,123,
bed pillow,124,
bunk bed,125,
carrycot,126,
crib,127,
futon,128,
hammock,129,
headboard,130,
hospital bed,131,
lilo,132,
mattress,133,
mattress pad,134,
pillow,135,
throw pillow,136,
canopy bed,137,
emergency sleeping bag,138,
command module,139,
meteorite,140,
moon,141,
satellite,142,
sun,143,
satellite dish,144,
black hole,145,
Earth,146,
Mars,147,
Mercury,148,
Venus,149,
Saturn,150,
Jupiter,151,
Uranus,152,
Neptune,153,
pluto,154,
candy,155,
brittle,156,
chewing gum,157,
candied apple,158,
candy cane,159,
chocolate,160,
cocoa powder,161,
white chocolate,162,
gumdrop,163,
lollipop,164,
marshmallow,165,
nougat bar,166,
jello,167,
conserve,168,
aspic,169,
tanghulu,170,
chocolate-covered potato chips,171,
chocolate balls,172,
jelly babies,173,
ribbon candy,174,
gummy bear,175,
weaving basket,176,
bag,177,
gun barrel,178,
basin,179,
basket,180,
bottle,181,
bucket,182,
glasses case,183,
matchbox,184,
